astro_sign,title,link,image,Theme,Style Number,Colour,Swing Tag Generation,Tush Tag Generation,Birthday,Release Date,Release Year,Retirement Date,Animal,Subtheme,Size
Aquarius,Merlin the Dragon,https://beaniepedia.com/beanies/beanie-boos/merlin-the-dragon/,https://beaniepedia.com/beanies/files/2019/01/merlinboo.jpg,Beanie Boos,37246,Black,4,C1,20 January,01/08/2017,2017,-,Dragon,None,N/A
Scorpio,Mask the Mummy (Key Clip),https://beaniepedia.com/beanies/beanie-boos/mask-the-mummy-key-clip/,https://beaniepedia.com/beanies/files/2019/01/maskbookey-1.png,Beanie Boos,37241,Orange,4,C1,13 November,01/07/2017,2017,-,Mummy,Halloween,N/A
Scorpio,Mask the Mummy,https://beaniepedia.com/beanies/beanie-boos/mask-the-mummy/,https://beaniepedia.com/beanies/files/2019/01/maskboo.jpg,Beanie Boos,37241,Orange,4,C1,13 November,01/08/2017,2017,-,Mummy,Halloween,N/A
ERROR,Marshall the Paw Patrol Dog (Key Clip),https://beaniepedia.com/beanies/beanie-boos/marshall-the-paw-patrol-dog-2/,https://beaniepedia.com/beanies/files/2019/01/marshallbookey.jpg,Beanie Boos,41277,White,4,C1,None,01/01/2017,2017,-,Dog,Paw Patrol,N/A
ERROR,Marshall the Paw Patrol Dog (Large),https://beaniepedia.com/beanies/beanie-boos/marshall-the-paw-patrol-dog-large/,https://beaniepedia.com/beanies/files/2019/01/marshallboolarge.jpg,Beanie Boos,90253,White,4,C1,None,01/01/2017,2017,-,Dog,Paw Patrol,N/A
ERROR,Marshall the Paw Patrol Dog (Medium),https://beaniepedia.com/beanies/beanie-boos/marshall-the-paw-patrol-dog-medium/,https://beaniepedia.com/beanies/files/2019/01/marshallboo.jpg,Beanie Boos,96322,White,4,C1,None,01/01/2017,2017,-,Dog,Paw Patrol,N/A
ERROR,Marshall the Paw Patrol Dog,https://beaniepedia.com/beanies/beanie-boos/marshall-the-paw-patrol-dog/,https://beaniepedia.com/beanies/files/2019/01/marshallboo.jpg,Beanie Boos,41211,White,4,C1,None,01/01/2017,2017,-,Dog,Paw Patrol,N/A
Cancer,Maple the Moose,https://beaniepedia.com/beanies/beanie-boos/maple-the-moose/,https://beaniepedia.com/beanies/files/2019/01/mapleboo.jpg,Beanie Boos,37231,Brown,4,C1,01 July,01/01/2017,2017,-,Moose,Canada,N/A
Pisces,Mandy the Dog (Medium),https://beaniepedia.com/beanies/beanie-boos/mandy-the-dog-medium/,https://beaniepedia.com/beanies/files/2019/01/mandyboo.jpg,Beanie Boos,37263,Blue,4,C1,08 March,01/06/2017,2017,-,Dog,None,N/A
Pisces,Mandy the Dog,https://beaniepedia.com/beanies/beanie-boos/mandy-the-dog/,https://beaniepedia.com/beanies/files/2019/01/mandyboo.jpg,Beanie Boos,36851,Blue,4,C1,08 March,01/06/2017,2017,-,Dog,None,N/A
ERROR,Black Panther the Superhero,https://beaniepedia.com/beanies/beanie-babies/black-panther-the-superhero/,https://beaniepedia.com/beanies/files/2019/01/blackpanther.jpg,Beanie Babies,41197,Black,19,C1,None,01/07/2018,2018,-,Superhero,Marvel Black Panther,N/A
ERROR,Groot the Marvel Superhero,https://beaniepedia.com/beanies/beanie-babies/groot-the-marvel-superhero/,https://beaniepedia.com/beanies/files/2019/01/grootbeaniebaby.jpg,Beanie Babies,41215,Brown,19,C1,None,01/07/2018,2018,-,N/A,Marvel Guardians of the Galaxy,N/A
Aries,Maddie the Dog (Exclusive we.org Tag),https://beaniepedia.com/beanies/beanie-boos/maddie-the-dog-exclusive-we-org-tag/,https://beaniepedia.com/beanies/files/2019/01/maddieweorg.jpg,Beanie Boos,36202,Brown,4,C1,28 March,-,-,-,Dog,Charity,N/A
Sagittarius,Mac the Mouse (Medium),https://beaniepedia.com/beanies/beanie-boos/mac-the-mouse-medium/,https://beaniepedia.com/beanies/files/2019/01/macboo.jpg,Beanie Boos,37196,Grey,4,C1,12 December,01/07/2016,2016,-,Mouse,Christmas,N/A
Sagittarius,Mac the Mouse,https://beaniepedia.com/beanies/beanie-boos/mac-the-mouse/,https://beaniepedia.com/beanies/files/2019/01/macboo.jpg,Beanie Boos,37196,Grey,4,C1,12 December,01/07/2016,2016,-,Mouse,Christmas,N/A
Gemini,Pixy the Unicorn (Key Clip),https://beaniepedia.com/beanies/beanie-boos/pixy-the-unicorn-key-clip/,https://beaniepedia.com/beanies/files/2019/01/pixybookey.jpg,Beanie Boos,35040,N/A,4,C1,26 May,01/06/2017,2017,-,Unicorn,None,N/A
Gemini,Pixy the Unicorn (Large),https://beaniepedia.com/beanies/beanie-boos/pixy-the-unicorn-large/,https://beaniepedia.com/beanies/files/2019/01/pixyboolarge.jpg,Beanie Boos,36859,N/A,4,C1,26 May,01/06/2017,2017,-,Unicorn,None,N/A
Gemini,Pixy the Unicorn (Medium),https://beaniepedia.com/beanies/beanie-boos/pixy-the-unicorn-medium-2/,https://beaniepedia.com/beanies/files/2019/01/pixyboo.jpg,Beanie Boos,37157,N/A,4,C1,26 May,01/06/2017,2017,-,Unicorn,None,N/A
Gemini,Pixy the Unicorn (Gold Horn),https://beaniepedia.com/beanies/beanie-boos/pixy-the-unicorn-gold-horn/,https://beaniepedia.com/beanies/files/2019/01/pixygoldboo.jpg,Beanie Boos,36852,N/A,4,C1,26 May,01/06/2017,2017,-,Unicorn,None,N/A
Gemini,Pixy the Unicorn (Rainbow Horn),https://beaniepedia.com/beanies/beanie-boos/pixy-the-unicorn-rainbow-horn/,https://beaniepedia.com/beanies/files/2019/01/pixyboo.jpg,Beanie Boos,36852,N/A,4,C1,26 May,01/06/2017,2017,-,Unicorn,None,N/A
Capricorn,Nori the Narwhal (Key Clip),https://beaniepedia.com/beanies/beanie-boos/nori-the-narwhal-key-clip/,https://beaniepedia.com/beanies/files/2019/01/noribookey.jpg,Beanie Boos,36560,Rainbow,4,C1,14 January,01/05/2018,2018,-,N/A,None,N/A
Capricorn,Nori the Narwhal (Medium),https://beaniepedia.com/beanies/beanie-boos/nori-the-narwhal-medium/,https://beaniepedia.com/beanies/files/2019/01/noriboo.jpg,Beanie Boos,36418,Rainbow,4,C1,14 January,01/05/2018,2018,-,N/A,None,N/A
Capricorn,Nori the Narwhal,https://beaniepedia.com/beanies/beanie-boos/nori-the-narwhal/,https://beaniepedia.com/beanies/files/2019/01/noriboo.jpg,Beanie Boos,36216,Rainbow,4,C1,14 January,01/05/2018,2018,-,N/A,None,N/A
ERROR,Billionaire 18 the Bear,https://beaniepedia.com/beanies/flippables/billionaire-18-the-bear/,https://beaniepedia.com/beanies/files/2019/01/billionaireflippable.jpg,Flippables,N/A,White,1,C1,None,01/01/2019,2019,-,Bear,Billionaire,N/A
Virgo,Waves the Seal,https://beaniepedia.com/beanies/flippables/waves-the-seal/,https://beaniepedia.com/beanies/files/2019/01/wavesflippable.jpg,Flippables,36676,Blue,1,C1,05 September,01/01/2019,2019,-,Seal,None,N/A
Taurus,Slush the Husky,https://beaniepedia.com/beanies/flippables/slush-the-husky-2/,https://beaniepedia.com/beanies/files/2019/01/slushflippable.jpg,Flippables,36671,N/A,1,C1,30 April,01/01/2019,2019,-,Dog,None,N/A
Leo,Whimsy the Cat (Medium),https://beaniepedia.com/beanies/flippables/whimsy-the-cat-medium/,https://beaniepedia.com/beanies/files/2019/01/whimsyflippable.jpg,Flippables,36786,White,1,C1,22 August,01/01/2019,2019,-,Cat,None,N/A
Leo,Whimsy the Cat,https://beaniepedia.com/beanies/flippables/whimsy-the-cat/,https://beaniepedia.com/beanies/files/2019/01/whimsyflippable.jpg,Flippables,36674,White,1,C1,22 August,01/01/2019,2019,-,Cat,None,N/A
Libra,Sunset the Unicorn (Medium),https://beaniepedia.com/beanies/flippables/sunset-the-unicorn-medium/,https://beaniepedia.com/beanies/files/2019/01/sunsetflippable.jpg,Flippables,36782,Orange,1,C1,07 October,01/01/2019,2019,-,Unicorn,None,N/A
Libra,Sunset the Unicorn,https://beaniepedia.com/beanies/flippables/sunset-the-unicorn/,https://beaniepedia.com/beanies/files/2019/01/sunsetflippable.jpg,Flippables,36670,Orange,1,C1,07 October,01/01/2019,2019,-,Unicorn,None,N/A
Gemini,Pixy the Unicorn (Medium),https://beaniepedia.com/beanies/flippables/pixy-the-unicorn-medium/,https://beaniepedia.com/beanies/files/2019/01/pixyflippable.jpg,Flippables,36781,White,1,C1,26 May,01/01/2019,2019,-,Unicorn,None,N/A
Gemini,Pixy the Unicorn,https://beaniepedia.com/beanies/flippables/pixy-the-unicorn/,https://beaniepedia.com/beanies/files/2019/01/pixyflippable.jpg,Flippables,36669,White,1,C1,26 May,01/01/2019,2019,-,Unicorn,None,N/A
Sagittarius,Calypso the Narwhal,https://beaniepedia.com/beanies/flippables/calypso-the-narwhal/,https://beaniepedia.com/beanies/files/2019/04/calypsoflippable.jpg,Flippables,36675,Rainbow,1,C1,14 December,01/01/2019,2019,-,N/A,None,N/A
Pisces,Dangler the Sloth (Medium),https://beaniepedia.com/beanies/flippables/dangler-the-sloth-medium-2/,https://beaniepedia.com/beanies/files/2019/01/danglerflippable.png,Flippables,36780,N/A,1,C1,22 February,01/01/2019,2019,-,Sloth,None,N/A
Pisces,Dangler the Sloth,https://beaniepedia.com/beanies/flippables/dangler-the-sloth-2/,https://beaniepedia.com/beanies/files/2019/01/danglerflippable.png,Flippables,36668,N/A,1,C1,22 February,01/01/2019,2019,-,Sloth,None,N/A
Cancer,London the Dog (Large),https://beaniepedia.com/beanies/beanie-boos/london-the-dog-large/,https://beaniepedia.com/beanies/files/2019/01/londonboolarge.jpg,Beanie Boos,36832,Pink,4,C1,18 July,01/06/2016,2016,-,Dog,Claire's,N/A
Cancer,London the Dog (Medium),https://beaniepedia.com/beanies/beanie-boos/london-the-dog-medium/,https://beaniepedia.com/beanies/files/2019/01/londonboo.jpg,Beanie Boos,37083,Pink,4,C1,18 July,01/11/2015,2015,-,Dog,Claire's,N/A
Scorpio,Lollipop the Rabbit (Medium),https://beaniepedia.com/beanies/beanie-boos/lollipop-the-rabbit-medium/,https://beaniepedia.com/beanies/files/2019/01/lollipopboobuddy.jpg,Beanie Boos,37258,Mixed,4,C1,14 November,01/12/2017,2017,-,Rabbit,Easter,N/A
Scorpio,Lollipop the Rabbit,https://beaniepedia.com/beanies/beanie-boos/lollipop-the-rabbit/,https://beaniepedia.com/beanies/files/2019/01/lollipopboo.jpg,Beanie Boos,36872,Mixed,4,C1,14 November,01/11/2017,2017,-,Rabbit,Easter,N/A
Aries,Lola the Dog (Key Clip),https://beaniepedia.com/beanies/beanie-boos/lola-the-dog-key-clip/,https://beaniepedia.com/beanies/files/2019/01/lolabookey.jpg,Beanie Boos,7413,Rainbow,4,C1,11 April,01/12/2018,2018,-,Dog,Claire's,N/A
Aries,Lola the Dog (Large),https://beaniepedia.com/beanies/beanie-boos/lola-the-dog-large/,https://beaniepedia.com/beanies/files/2019/01/lolaboo.jpg,Beanie Boos,36293,Rainbow,4,C1,11 April,01/12/2018,2018,-,Dog,Claire's,N/A
Aries,Lola the Dog (Medium),https://beaniepedia.com/beanies/beanie-boos/lola-the-dog-medium/,https://beaniepedia.com/beanies/files/2019/01/lolaboo.jpg,Beanie Boos,37280,Rainbow,4,C1,11 April,01/12/2018,2018,-,Dog,Claire's,N/A
ERROR,Peanut the Elephant (Royal Blue),https://beaniepedia.com/beanies/teenie-beanie-babies/peanut-the-elephant-royal-blue-3/,https://beaniepedia.com/beanies/files/2019/01/peanutteenie.jpg,Teenie Beanie Babies,N/A,Blue,-,-,None,29/06/2000,2000,09/11/2000,Elephant,McDonalds,N/A
ERROR,Peanut the Elephant (Royal Blue),https://beaniepedia.com/beanies/beanie-buddies/peanut-the-elephant-royal-blue-2/,https://beaniepedia.com/beanies/files/2019/01/peanutbuddy.jpg,Beanie Buddies,9300,Blue,1 2 2003,-,None,30/09/1998,1998,10/02/2000,Elephant,None,N/A
Aquarius,Peanut the Elephant (Light Blue),https://beaniepedia.com/beanies/beanie-babies/peanut-the-elephant-light-blue/,https://beaniepedia.com/beanies/files/2019/01/peanutlightblue.jpg,Beanie Babies,4062,Blue,3 4 2005,1 2 3 4 5 6,25 January 1995,01/10/1995,1995,01/05/1998,Elephant,None,N/A
ERROR,October 2 the Birthday Bear,https://beaniepedia.com/beanies/beanie-babies/october-2-the-birthday-bear/,https://beaniepedia.com/beanies/files/2019/01/october2.jpg,Beanie Babies,4549,Peach,Birthday,11,None,29/08/2002,2002,27/12/2002,Bear,Birthday,N/A
Aries,Lola the Dog,https://beaniepedia.com/beanies/beanie-boos/lola-the-dog/,https://beaniepedia.com/beanies/files/2019/01/lolaboo.jpg,Beanie Boos,36948,Rainbow,4,C1,11 April,01/02/2018,2018,-,Dog,Claire's,N/A
Virgo,Lizzie the Leopard (Key Clip),https://beaniepedia.com/beanies/beanie-boos/lizzie-the-leopard-key-clip/,https://beaniepedia.com/beanies/files/2019/01/lizziebookey.jpg,Beanie Boos,35022,Blue,4,C1,21 September,01/10/2016,2016,-,Leopard,Claire's,N/A
Virgo,Lizzie the Leopard (Large),https://beaniepedia.com/beanies/beanie-boos/lizzie-the-leopard-large/,https://beaniepedia.com/beanies/files/2019/01/lizzieboolarge.jpg,Beanie Boos,36834,Blue,4,C1,21 September,01/10/2016,2016,-,Leopard,Claire's,N/A
Virgo,Lizzie the Leopard (Medium),https://beaniepedia.com/beanies/beanie-boos/lizzie-the-leopard-medium/,https://beaniepedia.com/beanies/files/2019/01/lizzieboo.jpg,Beanie Boos,37094,Blue,4,C1,21 September,01/10/2016,2016,-,Leopard,Claire's,N/A
Virgo,Lizzie the Leopard,https://beaniepedia.com/beanies/beanie-boos/lizzie-the-leopard/,https://beaniepedia.com/beanies/files/2019/01/lizzieboo.jpg,Beanie Boos,37182,Blue,4,C1,21 September,01/03/2016,2016,-,Leopard,Claire's,N/A
Taurus,Lindi the Cat (Medium),https://beaniepedia.com/beanies/beanie-boos/lindi-the-cat-medium/,https://beaniepedia.com/beanies/files/2019/01/lindiboo.jpg,Beanie Boos,37067,Grey,4,C1,17 May,01/12/2015,2015,-,Cat,None,N/A
Taurus,Lindi the Cat,https://beaniepedia.com/beanies/beanie-boos/lindi-the-cat/,https://beaniepedia.com/beanies/files/2019/01/lindiboo.jpg,Beanie Boos,37172,Grey,4,C1,17 May,01/12/2015,2015,-,Cat,None,N/A
Libra,Leggz the Spider,https://beaniepedia.com/beanies/beanie-boos/leggz-the-spider/,https://beaniepedia.com/beanies/files/2019/01/leggzboo.jpg,Beanie Boos,36207,N/A,4,C1,05 October,01/07/2018,2018,-,Spider,Halloween,N/A
ERROR,LeeAnn the Lemur (Key Clip),https://beaniepedia.com/beanies/beanie-boos/leeann-the-lemur-key-clip/,https://beaniepedia.com/beanies/files/2019/01/leeannbookey.jpg,Beanie Boos,35029,Pink,4,C1,None,01/01/2017,2017,-,Lemur,None,N/A
Sagittarius,LeeAnn the Lemur,https://beaniepedia.com/beanies/beanie-boos/leeann-the-lemur/,https://beaniepedia.com/beanies/files/2019/01/leeannboo.jpg,Beanie Boos,37225,Pink,4,C1,05 December,01/01/2017,2017,-,Lemur,None,N/A
Leo,Layla the Unicorn Lion,https://beaniepedia.com/beanies/beanie-boos/layla-the-unicorn-lion/,https://beaniepedia.com/beanies/files/2019/01/laylaboo.jpg,Beanie Boos,36258,N/A,4,C1,05 August,01/10/2018,2018,-,N/A,Claire's,N/A
Aquarius,Jaden the Siamese Cat,https://beaniepedia.com/beanies/beanie-babies/jaden-the-siamese-cat/,https://beaniepedia.com/beanies/files/2019/01/jaden.jpg,Beanie Babies,42129,N/A,19 20,C1 VelveTy,13 February,01/12/2015,2015,-,Cat,None,N/A
Aries,Lavender the Lamb (Medium),https://beaniepedia.com/beanies/beanie-boos/lavender-the-lamb-medium/,https://beaniepedia.com/beanies/files/2019/01/lavenderboo.jpg,Beanie Boos,37048,Purple,4,C1,15 April,01/12/2015,2015,-,Sheep,Easter,N/A
Aries,Lavender the Lamb,https://beaniepedia.com/beanies/beanie-boos/lavender-the-lamb/,https://beaniepedia.com/beanies/files/2019/01/lavenderboo.jpg,Beanie Boos,36171,Purple,4,C1,15 April,01/12/2015,2015,-,Sheep,Easter,N/A
Pisces,Kiwi the Kiwi Bird (Key Clip),https://beaniepedia.com/beanies/beanie-boos/kiwi-the-kiwi-bird-key-clip/,https://beaniepedia.com/beanies/files/2019/01/kiwibookey.jpg,Beanie Boos,36557,Pink,4,C1,04 March,01/05/2018,2018,-,N/A,None,N/A
Pisces,Kiwi the Kiwi Bird (Medium),https://beaniepedia.com/beanies/beanie-boos/kiwi-the-kiwi-bird-medium/,https://beaniepedia.com/beanies/files/2019/01/kiwiboobuddy.jpg,Beanie Boos,36415,Pink,4,C1,04 March,01/06/2018,2018,-,N/A,None,N/A
Pisces,Kiwi the Kiwi Bird,https://beaniepedia.com/beanies/beanie-boos/kiwi-the-kiwi-bird/,https://beaniepedia.com/beanies/files/2019/01/kiwiboo.jpg,Beanie Boos,36213,Pink,4,C1,04 March,01/06/2018,2018,-,N/A,None,N/A
Aquarius,Kipper the Kangaroo (Key Clip),https://beaniepedia.com/beanies/beanie-boos/kipper-the-kangaroo-key-clip/,https://beaniepedia.com/beanies/files/2019/01/kipperbookey.jpg,Beanie Boos,36884,Brown,4,C1,28 January,01/01/2017,2017,-,Kangaroo,None,N/A
Aquarius,Kipper the Kangaroo (Medium),https://beaniepedia.com/beanies/beanie-boos/kipper-the-kangaroo-medium/,https://beaniepedia.com/beanies/files/2019/01/kipperboo.jpg,Beanie Boos,37160,Brown,4,C1,28 January,01/01/2017,2017,-,Kangaroo,None,N/A
Aquarius,Kipper the Kangaroo,https://beaniepedia.com/beanies/beanie-boos/kipper-the-kangaroo/,https://beaniepedia.com/beanies/files/2019/01/kipperboo.jpg,Beanie Boos,37226,Brown,4,C1,28 January,01/01/2017,2017,-,Kangaroo,None,N/A
Leo,Kiki the Cat (Large),https://beaniepedia.com/beanies/beanie-boos/kiki-the-cat-large/,https://beaniepedia.com/beanies/files/2019/01/kikiboolarge.jpg,Beanie Boos,36838,Grey,4,C1,16 August,01/01/2017,2017,-,Cat,None,N/A
Leo,Kiki the Cat (Medium),https://beaniepedia.com/beanies/beanie-boos/kiki-the-cat-medium/,https://beaniepedia.com/beanies/files/2019/01/kikiboo.jpg,Beanie Boos,37075,Grey,4,C1,16 August,01/02/2016,2016,-,Cat,None,N/A
Leo,Kiki the Cat,https://beaniepedia.com/beanies/beanie-boos/kiki-the-cat/,https://beaniepedia.com/beanies/files/2019/01/kikiboo.jpg,Beanie Boos,37190,Grey,4,C1,16 August,01/02/2016,2016,-,Cat,None,N/A
Aries,Poopsie the Bear,https://beaniepedia.com/beanies/beanie-babies/poopsie-the-bear/,https://beaniepedia.com/beanies/files/2019/01/poopsie.jpg,Beanie Babies,4381,Yellow,7 9,10 11,31 March 2001,31/07/2001,2001,08/04/2002,Bear,None,N/A
ERROR,Winnie the Pooh (Christmas),https://beaniepedia.com/beanies/beanie-babies/winnie-the-pooh-christmas/,https://beaniepedia.com/beanies/files/2019/01/winniethepoohchristmas.jpg,Beanie Babies,47167,Yellow,19,15,None,01/10/2012,2012,-,Bear,Winnie the Pooh Walgreens,N/A
ERROR,Winnie the Pooh (Disney Sparkle),https://beaniepedia.com/beanies/beanie-babies/winnie-the-pooh-disney-sparkle/,https://beaniepedia.com/beanies/files/2019/01/winniethepoohsparkle.jpg,Beanie Babies,41064,Yellow,Disney Sparkle,Disney Sparkle 2,None,01/07/2013,2013,29/01/2016,Bear,Winnie the Pooh,N/A
ERROR,Winnie the Pooh,https://beaniepedia.com/beanies/beanie-babies/winnie-the-pooh/,https://beaniepedia.com/beanies/files/2019/01/winniethepooh.jpg,Beanie Babies,N/A,Yellow,19,15,None,01/01/2013,2013,29/01/2016,Bear,40988,N/A
Cancer,Juliet the Penguin (Medium),https://beaniepedia.com/beanies/beanie-boos/juliet-the-penguin-medium/,https://beaniepedia.com/beanies/files/2019/01/julietboo.jpg,Beanie Boos,37163,Pink,4,C1,08 July,01/06/2017,2017,-,N/A,Valentine's Day,N/A
Cancer,Juliet the Penguin,https://beaniepedia.com/beanies/beanie-boos/juliet-the-penguin/,https://beaniepedia.com/beanies/files/2019/01/julietboo.jpg,Beanie Boos,36865,Pink,4,C1,08 July,01/06/2017,2017,-,N/A,Valentine's Day,N/A
Leo,Joey the Fox (Key Clip),https://beaniepedia.com/beanies/beanie-boos/joey-the-fox-key-clip/,https://beaniepedia.com/beanies/files/2019/01/joeybookey.jpg,Beanie Boos,35021,N/A,4,C1,13 August,01/05/2016,2016,-,Fox,Claire's,N/A
Leo,Joey the Fox (Large),https://beaniepedia.com/beanies/beanie-boos/joey-the-fox-large/,https://beaniepedia.com/beanies/files/2019/01/joeyboolarge.jpg,Beanie Boos,36833,N/A,4,C1,13 August,01/10/2016,2016,-,Fox,Claire's,N/A
Leo,Joey the Fox (Medium),https://beaniepedia.com/beanies/beanie-boos/joey-the-fox-medium/,https://beaniepedia.com/beanies/files/2019/01/joeyboo.jpg,Beanie Boos,37093,N/A,4,C1,13 August,01/10/2016,2016,-,Fox,Claire's,N/A
Leo,Joey the Fox,https://beaniepedia.com/beanies/beanie-boos/joey-the-fox/,https://beaniepedia.com/beanies/files/2019/01/joeyboo.jpg,Beanie Boos,37181,N/A,4,C1,13 August,01/05/2016,2016,-,Fox,Claire's,N/A
Sagittarius,Jamal the Camel,https://beaniepedia.com/beanies/beanie-boos/jamal-the-camel/,https://beaniepedia.com/beanies/files/2019/01/jamalboo.jpg,Beanie Boos,36223,Brown,4,C1,02 December,01/09/2018,2018,-,Camel,United Arab Emirates (UAE) exclusive until 2019,N/A
ERROR,Jade the Wolf (Medium),https://beaniepedia.com/beanies/beanie-boos/jade-the-wolf-medium/,https://beaniepedia.com/beanies/files/2019/01/jadeboo.jpg,Beanie Boos,37279,Green,4,C1,None,01/10/2017,2017,-,Wolf,Great Wolf Lodge,N/A
ERROR,Jade the Wolf,https://beaniepedia.com/beanies/beanie-boos/jade-the-wolf/,https://beaniepedia.com/beanies/files/2019/01/jadeboo.jpg,Beanie Boos,36867,Green,4,C1,None,01/10/2017,2017,-,Wolf,Great Wolf Lodge,N/A
Cancer,Izzy the Ladybug,https://beaniepedia.com/beanies/beanie-boos/izzy-the-ladybug/,https://beaniepedia.com/beanies/files/2019/01/izzyladybugboo.jpg,Beanie Boos,36850,N/A,4,C1,18 July,01/06/2017,2017,-,Ladybug,None,N/A
Taurus,Isla the Dog (Key Clip),https://beaniepedia.com/beanies/beanie-boos/isla-the-dog-key-clip/,https://beaniepedia.com/beanies/files/2019/01/islabookey.jpg,Beanie Boos,35037,Rainbow,4,C1,11 May,01/01/2017,2017,-,Dog,Claire's,N/A
Taurus,Isla the Dog (Large),https://beaniepedia.com/beanies/beanie-boos/isla-the-dog-large/,https://beaniepedia.com/beanies/files/2019/01/islaboo.jpg,Beanie Boos,36861,Rainbow,4,C1,11 May,01/01/2017,2017,-,Dog,Claire's,N/A
Taurus,Isla the Dog (Medium),https://beaniepedia.com/beanies/beanie-boos/isla-the-dog-medium/,https://beaniepedia.com/beanies/files/2019/01/islaboo.jpg,Beanie Boos,37155,Rainbow,4,C1,11 May,01/01/2017,2017,-,Dog,Claire's,N/A
Leo,Ramsey the Unicorn Lion,https://beaniepedia.com/beanies/beanie-boos/ramsey-the-unicorn-lion/,https://beaniepedia.com/beanies/files/2019/01/ramseyboo.jpg,Beanie Boos,36252,Brown,4,C1,16 August,01/06/2018,2018,-,N/A,None,N/A
Aries,Begonia the Unicorn Rabbit,https://beaniepedia.com/beanies/beanie-boos/begonia-the-unicorn-rabbit/,https://beaniepedia.com/beanies/files/2019/01/begoniaboo.jpg,Beanie Boos,36288,Rainbow,4,C1,06 April,01/01/2019,2019,-,N/A,None,N/A
ERROR,Cawley the Crow,https://beaniepedia.com/beanies/attic-treasures/cawley-the-crow/,https://beaniepedia.com/beanies/files/2019/01/cawley.jpg,Attic Treasures,6090,Black,-,-,None,01/01/1999,1999,22/05/2000,N/A,None,N/A
Taurus,Isla the Dog,https://beaniepedia.com/beanies/beanie-boos/isla-the-dog/,https://beaniepedia.com/beanies/files/2019/01/islaboo.jpg,Beanie Boos,37228,Rainbow,4,C1,11 May,01/01/2017,2017,-,Dog,Claire's,N/A
ERROR,Iris the Wolf (Medium),https://beaniepedia.com/beanies/beanie-boos/iris-the-wolf-medium/,https://beaniepedia.com/beanies/files/2019/01/irisboo.jpg,Beanie Boos,37278,Purple,4,C1,None,-,-,-,Wolf,Great Wolf Lodge,N/A
ERROR,Iris the Wolf,https://beaniepedia.com/beanies/beanie-boos/iris-the-wolf/,https://beaniepedia.com/beanies/files/2019/01/irisboo.jpg,Beanie Boos,36866,Purple,4,C1,None,01/10/2017,2017,-,Wolf,Great Wolf Lodge,N/A
Aries,Inky the Octopus,https://beaniepedia.com/beanies/beanie-boos/inky-the-octopus/,https://beaniepedia.com/beanies/files/2019/01/inkyboo.jpg,Beanie Boos,37232,Purple,4,C1,24 March,01/05/2017,2017,-,Octopus,None,N/A
Pisces,Icy the Seal (Large),https://beaniepedia.com/beanies/beanie-boos/icy-the-seal-large/,https://beaniepedia.com/beanies/files/2019/01/icyboolarge.jpg,Beanie Boos,36829,White,4,C1,27 February,-,-,-,Seal,None,N/A
Aquarius,Honey Bun the Dog (Medium),https://beaniepedia.com/beanies/beanie-boos/honey-bun-the-dog-medium/,https://beaniepedia.com/beanies/files/2019/01/honeybun.jpg,Beanie Boos,37090,White,4,C1,05 February,01/07/2016,2016,-,Dog,Valentine's Day,N/A
Aquarius,Honey Bun the Dog,https://beaniepedia.com/beanies/beanie-boos/honey-bun-the-dog/,https://beaniepedia.com/beanies/files/2019/01/honeybun.jpg,Beanie Boos,37210,White,4,C1,05 February,01/07/2016,2016,-,Dog,Valentine's Day,N/A
Pisces,Henry the Bear,https://beaniepedia.com/beanies/beanie-boos/henry-the-bear/,https://beaniepedia.com/beanies/files/2019/01/henryboo.jpg,Beanie Boos,42286,Brown,4,C1,15 March,01/06/2018,2018,-,Bear,Canada,N/A
Taurus,Heather the Unicorn Cat,https://beaniepedia.com/beanies/beanie-boos/heather-the-unicorn-cat/,https://beaniepedia.com/beanies/files/2019/01/heatherboo.jpg,Beanie Boos,36250,Rainbow,4,C1,26 April,01/06/2018,2018,-,N/A,None,N/A
Virgo,Harmonie the Unicorn (Key Clip),https://beaniepedia.com/beanies/beanie-boos/harmonie-the-unicorn-key-clip/,https://beaniepedia.com/beanies/files/2019/01/harmoniebookey.jpg,Beanie Boos,35211,N/A,4,C1,07 September,01/12/2017,2017,-,Unicorn,None,N/A
Virgo,Harmonie the Unicorn (Large),https://beaniepedia.com/beanies/beanie-boos/harmonie-the-unicorn-large/,https://beaniepedia.com/beanies/files/2019/01/harmonieboolarge.jpg,Beanie Boos,36891,N/A,4,C1,07 September,01/12/2017,2017,-,Unicorn,None,N/A
Virgo,Harmonie the Unicorn (Medium),https://beaniepedia.com/beanies/beanie-boos/harmonie-the-unicorn-medium/,https://beaniepedia.com/beanies/files/2019/01/harmonieboo.jpg,Beanie Boos,37266,Mixed,4,C1,07 September,01/12/2017,2017,-,Unicorn,None,N/A
Virgo,Harmonie the Unicorn,https://beaniepedia.com/beanies/beanie-boos/harmonie-the-unicorn/,https://beaniepedia.com/beanies/files/2019/01/harmonieboo.jpg,Beanie Boos,36898,Mixed,4,C1,07 September,01/01/2018,2018,-,Unicorn,None,N/A
Sagittarius,Harriet the Horse,https://beaniepedia.com/beanies/beanie-boos/harriet-the-horse/,https://beaniepedia.com/beanies/files/2019/01/harrietboo.jpg,Beanie Boos,36842,Brown,4,C1,20 December,01/04/2017,2017,-,Horse,None,N/A
